TX hierarchical breakdown
date: 2026-05-28T11:31:59+09:00
experiments: normal_ycsb abort0_ycsb
protos: ermia_wal ermia_pwal
threads: 1 2 4 8 16 32
seconds: 5
percent denominator: actual_extime * thread_num * 1e9
===== SUMMARY_CSV =====
experiment,mode,thread_num,seconds,actual_extime,denom_thread_ns,exit_code,throughput_tps,abort_rate,commit_counts,stdout_log,stderr_log,read_ns,read_ns_pct,update_ns,update_ns_pct,insert_ns,insert_ns_pct,delete_ns,delete_ns_pct,abort_cleanup_ns,abort_cleanup_ns_pct,maintenance_ns,maintenance_ns_pct,ssn_finalize_pi_ns,ssn_finalize_pi_ns_pct,ssn_finalize_eta_ns,ssn_finalize_eta_ns_pct,ssn_exclusion_ns,ssn_exclusion_ns_pct,node_validation_ns,node_validation_ns_pct,wal_log_ns,wal_log_ns_pct,version_install_ns,version_install_ns_pct,commit_cleanup_ns,commit_cleanup_ns_pct,total_accounted_ns,total_accounted_ns_pct,wal_payload_build_ns,wal_payload_build_ns_pct,wal_mutex_wait_ns,wal_mutex_wait_ns_pct,wal_write_ns,wal_write_ns_pct,wal_fdatasync_ns,wal_fdatasync_ns_pct,wal_notify_wait_ns,wal_notify_wait_ns_pct,group_ermia_other_ns,group_ssn_ns,group_wal_ns,group_unaccounted_ns,group_ermia_other_ns_pct,group_ssn_ns_pct,group_wal_ns_pct,group_unaccounted_ns_pct
normal_ycsb,ermia_wal,1,5,5.0,5000000000,0,8863,0.0000,44319,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_1.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_1.err,195742982,3.9149,215933223,4.3187,0,0.0000,0,0.0000,0,0.0000,11758595,0.2352,5398214,0.1080,2444029,0.0489,1575441,0.0315,1591195,0.0318,4422866749,88.4573,24325840,0.4865,3697499,0.0739,4885333767,97.7067,192210274,3.8442,2047045,0.0409,588227277,11.7645,3610485575,72.2097,0,0.0000,453049334,9417684,4422866749,114666233,9.0610,0.1884,88.4573,2.2933
normal_ycsb,ermia_pwal,1,5,5.0,5000000000,0,10685,0.0000,53428,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_1.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_1.err,191092338,3.8218,217091328,4.3418,0,0.0000,0,0.0000,0,0.0000,10818065,0.2164,5472420,0.1094,2702879,0.0541,1758150,0.0352,1768473,0.0354,4422687569,88.4538,26144929,0.5229,3988117,0.0798,4883524268,97.6705,218875214,4.3775,2077342,0.0415,316518839,6.3304,3854105116,77.0821,3271644,0.0654,450903250,9933449,4422687569,116475732,9.0181,0.1987,88.4538,2.3295
normal_ycsb,ermia_wal,2,5,5.0,10000000000,0,4345,0.0000,21729,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_2.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_2.err,131890629,1.3189,172742268,1.7274,0,0.0000,0,0.0000,461,0.0000,15574680,0.1557,6902684,0.0690,6540500,0.0654,1063737,0.0106,1181072,0.0118,9489805299,94.8981,33530714,0.3353,7744131,0.0774,9866976175,98.6698,209952739,2.0995,4858653923,48.5865,503205897,5.0321,3808948750,38.0895,0,0.0000,362663955,14506921,9489805299,133023825,3.6266,0.1451,94.8981,1.3302
normal_ycsb,ermia_pwal,2,5,5.0,10000000000,0,16730,0.0003,83654,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_2.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_2.err,218806898,2.1881,263279377,2.6328,0,0.0000,0,0.0000,11557378,0.1156,22954660,0.2295,15143364,0.1514,6536703,0.0654,2688114,0.0269,5540222,0.0554,9181835424,91.8184,49493609,0.4949,14163234,0.1416,9791998983,97.9200,338274507,3.3827,7725666,0.0773,354606086,3.5461,8144581744,81.4458,241324792,2.4132,585795378,24368181,9181835424,208001017,5.8580,0.2437,91.8184,2.0800
normal_ycsb,ermia_wal,4,5,5.0,20000000000,0,4019,0.0000,20097,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_4.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_4.err,127899306,0.6395,201516757,1.0076,0,0.0000,0,0.0000,96333,0.0005,12166324,0.0608,37752308,0.1888,50960620,0.2548,1021600,0.0051,1172918,0.0059,19409503927,97.0475,32749189,0.1637,6787384,0.0339,19881626666,99.4081,207585258,1.0379,14841129637,74.2056,479525129,2.3976,3777731186,18.8887,0,0.0000,382388211,89734528,19409503927,118373334,1.9119,0.4487,97.0475,0.5919
normal_ycsb,ermia_pwal,4,5,5.0,20000000000,0,15102,0.0014,75510,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_4.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_4.err,282710314,1.4136,383234628,1.9162,0,0.0000,0,0.0000,18457421,0.0923,47100530,0.2355,29300699,0.1465,19506379,0.0975,4138081,0.0207,12070016,0.0604,18728813930,93.6441,87663138,0.4383,25020628,0.1251,19638015764,98.1901,511811530,2.5591,17768146,0.0888,633286658,3.1664,15694733260,78.4737,1620452783,8.1023,856256675,52945159,18728813930,361984236,4.2813,0.2647,93.6441,1.8099
normal_ycsb,ermia_wal,8,5,5.0,40000000000,0,4458,0.0001,22294,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_8.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_8.err,114038277,0.2851,929804512,2.3245,0,0.0000,0,0.0000,955951,0.0024,11725790,0.0293,1008142507,2.5204,869632367,2.1741,1053431,0.0026,1225975,0.0031,36933251181,92.3331,35461815,0.0887,6609478,0.0165,39911901284,99.7798,212933560,0.5323,32353663856,80.8842,472958959,1.1824,3803122752,9.5078,0,0.0000,1099821798,1878828305,36933251181,88098716,2.7496,4.6971,92.3331,0.2202
normal_ycsb,ermia_pwal,8,5,5.0,40000000000,0,18656,0.0020,93281,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_8.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_8.err,571962217,1.4299,794932712,1.9873,0,0.0000,0,0.0000,66640041,0.1666,105602077,0.2640,78687342,0.1967,62306909,0.1558,12865155,0.0322,26335215,0.0658,37197273185,92.9932,211838402,0.5296,57589327,0.1440,39186032582,97.9651,1007745952,2.5194,33797603,0.0845,1535859264,3.8396,27791651147,69.4791,5633595145,14.0840,1834899991,153859406,37197273185,813967418,4.5872,0.3846,92.9932,2.0349
normal_ycsb,ermia_wal,16,5,5.0,80000000000,0,3530,0.0005,17654,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_16.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_wal_16.err,138269476,0.1728,4240297030,5.3004,0,0.0000,0,0.0000,2585590,0.0032,26851736,0.0336,2533765586,3.1672,2899174961,3.6240,1028961,0.0013,1224219,0.0015,70047867086,87.5598,42908557,0.0536,7305691,0.0091,79941278893,99.9266,225351652,0.2817,65520628668,81.9008,503838719,0.6298,3691002802,4.6138,0,0.0000,4459442299,5433969508,70047867086,58721107,5.5743,6.7925,87.5598,0.0734
normal_ycsb,ermia_pwal,16,5,5.0,80000000000,0,30670,0.0045,153354,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_16.out,/home/sasaki/tx-playground/ccbench/results/tx_breakdown_logs_20260528_112958/normal_ycsb_ermia_pwal_16.err,963794302,1.2047,1425947468,1.7824,0,0.0000,0,0.0000,217833567,0.2723,173689767,0.2171,219383968,0.2742,199790668,0.2497,41613083,0.0520,44552692,0.0557,74719958361,93.3999,426678450,0.5333,115281971,0.1441,78548524297,98.1857,1810946014,2.2637,56755356,0.0709,2761864886,3.4523,51209530022,64.0119,13949916934,17.4374,3367778217,460787719,74719958361,1451475703,4.2097,0.5760,93.3999,1.8143
