policy,workload,worker_threads,ack_tps,p99_us,pending
Global-prefix,YCSB-A,4,106180.8,524288.0,65535.8
Global-prefix,YCSB-A,8,167020.56,262144.0,65525.0
Global-prefix,YCSB-A,16,246353.08000000002,262144.0,65513.2
Global-prefix,YCSB-A,32,281820.83999999997,131072.0,65516.4
Ayame,YCSB-A,4,108692.92000000001,524288.0,65534.6
Ayame,YCSB-A,8,167932.03999999998,262144.0,63632.2
Ayame,YCSB-A,16,228850.08,8192.0,4148.0
Ayame,YCSB-A,32,255900.63999999998,2048.0,180.4
Global-prefix,YCSB-B,4,142173.63999999998,262144.0,65535.4
Global-prefix,YCSB-B,8,220448.84000000003,262144.0,65519.6
Global-prefix,YCSB-B,16,324321.32,131072.0,65412.0
Global-prefix,YCSB-B,32,416406.76000000007,131072.0,60378.8
Ayame,YCSB-B,4,249959.87999999998,32768.0,3690.0
Ayame,YCSB-B,8,355907.55999999994,16384.0,38.2
Ayame,YCSB-B,16,410560.16000000003,512.0,63.4
Ayame,YCSB-B,32,466364.88,512.0,71.6
