dso,mode,rank,report_log,self_pct,symbol,system,worker_threads,workload,workload_mode
ycsb_ermia_pwal.exe,single_wal,1,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,18.60,TxExecutor::ssn_parallel_commit,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,2,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,15.85,TxExecutor::install_version,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,3,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,6.18,slab_free_freelist_hook.constprop.0,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,4,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,5.60,ttwu_queue_wakelist,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,5,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,5.34,ext4_sync_file,Single WAL,32,YCSB-A,ycsb_a
[megaraid_sas],single_wal,6,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,4.62,megasas_build_and_issue_cmd_fusion,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,7,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,4.50,zap_pte_range,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,8,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,2.25,update_sg_lb_stats,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,9,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,1.93,TxExecutor::abort,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,10,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,1.88,MasstreeWrapper<Tuple>::get_value,Single WAL,32,YCSB-A,ycsb_a
libstdc++.so.6.0.30,single_wal,11,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,1.11,0x000000000009eb14,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,12,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,1.06,_raw_spin_lock_irqsave,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],pwal,1,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,37.85,native_queued_spin_lock_slowpath.part.0,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,2,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,12.08,"ccbench::WalLogger::logPerThread<std::vector<SetElement<Tuple>, std::allocator<SetElement<Tuple> > > >",P-WAL,32,YCSB-A,ycsb_a
libc.so.6,pwal,3,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,5.41,pthread_mutex_lock@@GLIBC_2.2.5,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,4,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,3.36,TxExecutor::ssn_parallel_commit,P-WAL,32,YCSB-A,ycsb_a
libc.so.6,pwal,5,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,2.48,pthread_mutex_unlock@@GLIBC_2.2.5,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,6,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,2.10,TxExecutor::read,P-WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,pwal,7,results/ayame_perf_eval_20260616_164948/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,2.07,TxExecutor::update,P-WAL,32,YCSB-A,ycsb_a
