workload,workers,cycles_per_tx,llc_miss_per_tx,ipc,abort_pct,tps
YCSB-A,1,80995,17.4,1.318,0.000,51941
YCSB-A,12,135634,67.5,0.810,0.217,232016
YCSB-A,24,187722,102.8,0.657,0.417,245617
YCSB-A,36,221820,115.9,0.618,0.600,248390
YCSB-A,48,253149,132.8,0.601,0.770,244511
YCSB-A,60,279392,149.2,0.613,0.963,226794
YCSB-A,72,312471,162.9,0.615,1.117,226458
YCSB-A,84,341593,187.6,0.645,1.317,215532
YCSB-A,96,375160,206.8,0.684,1.513,204580
YCSB-B,1,43364,7.9,1.237,0.000,92830
YCSB-B,12,81182,40.4,0.665,0.000,396599
YCSB-B,24,127880,56.3,0.457,0.007,431987
YCSB-B,36,140367,65.7,0.456,0.010,457638
YCSB-B,48,152835,75.8,0.456,0.010,425146
YCSB-B,60,163203,81.9,0.458,0.017,413224
YCSB-B,72,168043,87.9,0.483,0.020,397335
YCSB-B,84,173710,97.6,0.520,0.030,381616
YCSB-B,96,180369,100.6,0.557,0.030,377695
