FLAGS_clocks_per_us,FLAGS_extime,FLAGS_gc_inter_us,FLAGS_max_ope,FLAGS_pre_reserve_tmt_element,FLAGS_pre_reserve_version,FLAGS_rmw,FLAGS_rratio,FLAGS_thread_num,FLAGS_ycsb,FLAGS_ycsb_max_ope,FLAGS_ycsb_rmw,FLAGS_ycsb_rratio,FLAGS_ycsb_tuple_num,FLAGS_ycsb_zipf_skew,FLAGS_zipf_skew,abort_counts_,abort_rate,ack_latency_max_us,ack_latency_p50_us,ack_latency_p90_us,ack_latency_p95_us,ack_latency_p999_us,ack_latency_p99_us,ack_process_ns_per_tx,actual_extime,avg_batch_size,avg_ready_queue_len,avg_waitlist_len,batch_abort_counts_,batch_abort_rate,batch_commit_counts_,bytes_flushed_per_sec,commit_counts_,commits_per_fdatasync,committer_cpu_ns_per_tx,committer_event_ns_per_tx,committer_num,cycles_per_acked_tx,cycles_per_logical_tx,dep_wait_conditions_per_tx,derived_acked_commits,derived_logical_commits,durable_ack_tps,exit_code,experiment,fdatasync_ns_per_tx,fdatasync_per_sec,flush_us,flusher_cpu_ns_per_tx,frontier_alloc_count_per_tx,frontier_bytes_per_tx,frontier_collect_ns_per_tx,frontier_entries_per_tx,frontier_merge_ns_per_tx,frontier_nonzero_entries_per_tx,frontier_publish_ns_per_tx,frontier_shared_ptr_count_per_tx,global_atomic_per_tx,group_size,instructions_per_acked_tx,instructions_per_logical_tx,logger_num,logical_minus_acked,logical_tps,lsn_alloc_ns_per_tx,max_pending,max_ready_queue_len,max_waitlist_len,maxrss,mode,payload_build_ns_per_tx,pending_commits,perf_context_switches,perf_cycles,perf_instructions,perf_task_clock_ms,perfstat_log,queue_wait_us_per_acked_tx,read_frontier_updates_per_tx,read_only_frontier_collect_skipped_per_tx,ready_queue_push_ns_per_tx,repeat,skip_fdatasync,skip_read_only,stderr_log,stdout_log,straggler_logger,straggler_sleep_us,system,tx_breakdown_abort_cleanup_ns,tx_breakdown_commit_cleanup_ns,tx_breakdown_delete_ns,tx_breakdown_insert_ns,tx_breakdown_maintenance_ns,tx_breakdown_node_validation_ns,tx_breakdown_read_ns,tx_breakdown_ssn_exclusion_ns,tx_breakdown_ssn_finalize_eta_ns,tx_breakdown_ssn_finalize_pi_ns,tx_breakdown_total_accounted_ns,tx_breakdown_update_ns,tx_breakdown_version_install_ns,tx_breakdown_wal_log_ns,version_install_ns_per_tx,waiting_conditions_per_tx,waitlist_pops_per_tx,waitlist_registration_ns_per_tx,waitlist_registrations_per_tx,wal_enqueue_ns_per_tx,wal_stats_ack_latency_max_us,wal_stats_ack_latency_p50_us,wal_stats_ack_latency_p90_us,wal_stats_ack_latency_p95_us,wal_stats_ack_latency_p999_us,wal_stats_ack_latency_p99_us,wal_stats_ack_latency_samples,wal_stats_ack_process_ns,wal_stats_acked_commits,wal_stats_async_acked_commits,wal_stats_avg_accounted_ns_per_commit,wal_stats_avg_batch_size,wal_stats_avg_ready_queue_len,wal_stats_avg_waitlist_len,wal_stats_bytes,wal_stats_commits,wal_stats_committer_cpu_ns,wal_stats_committer_event_ns,wal_stats_committer_idle_wait_ns,wal_stats_committer_idle_waits,wal_stats_committer_num,wal_stats_committer_queue_wait_ns,wal_stats_dep_frontier_bytes,wal_stats_dep_frontier_entries,wal_stats_dep_frontier_nonzero_entries,wal_stats_dep_wait_conditions,wal_stats_durable_global_lsn,wal_stats_durable_lag_avg,wal_stats_durable_lag_max,wal_stats_durable_mode,wal_stats_fdatasync_count,wal_stats_fdatasync_ns,wal_stats_flushed_commits,wal_stats_flusher_batches,wal_stats_flusher_cpu_ns,wal_stats_flusher_idle_wait_ns,wal_stats_flusher_idle_waits,wal_stats_frontier_alloc_count,wal_stats_frontier_collect_ns,wal_stats_frontier_merge_ns,wal_stats_frontier_publish_ns,wal_stats_frontier_shared_ptr_count,wal_stats_global_atomic_count,wal_stats_logger_num,wal_stats_logical_commits,wal_stats_logical_minus_acked,wal_stats_lsn_alloc_ns,wal_stats_max_pending_commits,wal_stats_max_ready_queue_len,wal_stats_max_waitlist_len,wal_stats_measured_ack_latency_max_us,wal_stats_measured_ack_latency_p50_us,wal_stats_measured_ack_latency_p90_us,wal_stats_measured_ack_latency_p95_us,wal_stats_measured_ack_latency_p999_us,wal_stats_measured_ack_latency_p99_us,wal_stats_measured_acked_commits,wal_stats_measured_durable_global_lsn,wal_stats_measured_logical_commits,wal_stats_measured_logical_minus_acked,wal_stats_measurement_pending_commits,wal_stats_measurement_stop_recorded,wal_stats_mutex_wait_ns,wal_stats_notify_wait_ns,wal_stats_payload_build_ns,wal_stats_read_frontier_updates,wal_stats_read_only_commits,wal_stats_read_only_fast_path_acks,wal_stats_read_only_frontier_collect_skipped,wal_stats_ready_queue_push_ns,wal_stats_shutdown_drain_acked_commits,wal_stats_total_accounted_ns,wal_stats_version_install_ns,wal_stats_waitlist_pops,wal_stats_waitlist_registration_ns,wal_stats_waitlist_registrations,wal_stats_wal_enqueue_ns,wal_stats_worker_stall_ns,wal_stats_write_frontier_updates,wal_stats_write_ns,worker_stall_ns_per_tx,worker_threads,workload,workload_mode,write_frontier_updates_per_tx,write_ns_per_tx
2100,5,10,10,100,10000,0,50,32,1,10,0,50,100000,0,0,6634,0.0054,4390,512,1024,1024,1024,1024,198.543114,4,39,0,177,0,-nan,0,244339621.250000,1226090,1226066.000000,950.364498,827.545763,1,215335.692246,215296.702074,1.096240,1225844,1226066,306461.000000,0,cstamp,0.000000,0.000000,1000,6724.937000,5.985937,56.001096,28427.299047,7.000137,2133.640631,6.982303,31238.782483,5.985937,6.001388,64,140235.618179,140210.226147,7,222,306516.500000,1034.047128,65536,1,351,3057644 kB,async_dep_frontier_lsn,7894.041946,166,3712108,263967966325,171906991131,105150.520000,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_a_async_dep_frontier_lsn_str0_r0.perfstat.csv,718.585468,4.986820,0.000000,15.587224,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_a_async_dep_frontier_lsn_str0_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_a_async_dep_frontier_lsn_str0_r0.out,3,0,Dep frontier + separate LSN,3813951927,401974595,0,0,390395260,225552762,21748973383,330212995,802771411,734132349,154088231830,40246803407,1147862209,84245601532,1760.623601,1.096240,1.096240,23726.007482,1.096240,457.723679,4390,512,1024,1024,1024,1024,1226090,243426961,1226090,1226090,818520,39,0,177,977358485,1226090,1165209599,1014625723,3941582386,36528,1,880873684781,68661040,8582630,8560764,1344063,7358098,27,44,async_dep_frontier_lsn,0,0,1224878,30762,8245216608,31661575034,30881,7339154,34853744833,2615984234,38300809084,7339154,7358098,7,1226090,0,1267810026,322,1,351,4390,512,1024,1024,1024,1024,1225844,7356221,1226066,222,166,1,0,0,9678616432,6114171,1212,1,0,19110965,246,1003579364977,2158640736,1344063,29089651090,1344063,561199440,0,6133220,2902060672,0.000000,32,YCSB-A,ycsb_a,5.002357,2366.969374
2100,5,10,10,100,10000,0,50,32,1,10,0,50,100000,0,0,6646,0.0054,4710,512,1024,1024,1024,1024,156.782424,4,39,0,173,0,-nan,0,250289125.000000,1222831,1222804.000000,854.361787,716.354009,1,213959.615659,213944.217896,1.094555,1222716,1222804,305679.000000,0,cstamp,0.000000,0.000000,1000,6544.958501,5.987372,56.001237,32340.662508,7.000155,2033.671185,6.982023,35549.834050,5.987372,0.000000,64,141094.711294,141084.557308,7,88,305701.000000,0.000000,65536,1,487,3052496 kB,async_dep_frontier_cstamp,5913.248293,91,3886614,261611845420,172518761014,104471.350000,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_a_async_dep_frontier_cstamp_str0_r0.perfstat.csv,699.949388,4.988221,0.000000,16.580660,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_a_async_dep_frontier_cstamp_str0_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_a_async_dep_frontier_cstamp_str0_r0.out,3,0,Dep frontier + cstamp,3736030794,429576630,0,0,402752249,238071663,23426809142,347256394,801161863,710284900,153839869328,43415206922,1183935598,79148783173,1752.313184,1.094555,1.094555,17742.635443,1.094555,463.405387,4710,512,1024,1024,1024,1024,1222831,191714175,1222831,1222831,798745,39,0,173,1001156500,1222831,1044717010,875960548,4081856917,37914,1,855839315616,68478536,8559817,8537646,1338426,0,14,32,async_dep_frontier_cstamp,0,0,1221666,30992,8003201435,31891605917,31114,7321383,39546291478,2486781260,43470479276,7321383,0,7,1222831,0,0,442,1,487,4710,512,1024,1024,1024,1024,1222716,0,1222804,88,91,1,0,0,7230743666,6099616,1165,2,0,20274897,115,976730299089,2142735571,1338426,21695765590,1338426,566653961,0,6115506,2663583051,0.000000,32,YCSB-A,ycsb_a,5.001215,2178.258373
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,89,0.0000,2853,32,512,1024,1024,1024,267.556440,4,23,0,92,0,-nan,0,42354793.750000,1857523,1857507.000000,505.470706,461.303115,1,147998.494623,147987.738380,0.413292,1857372,1857507,464343.000000,0,cstamp,0.000000,0.000000,1000,2746.248012,3.915622,56.000482,16748.132816,7.000060,1393.293319,6.878897,15007.464585,3.915622,0.901932,64,74727.084533,74721.653514,7,135,464376.750000,159.404769,65536,1,187,668940 kB,async_dep_frontier_lsn,1485.499604,101,3623528,274888259955,138795994454,109420.890000,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_b_async_dep_frontier_lsn_str0_r0.perfstat.csv,267.160133,3.514086,0.000000,11.452649,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_b_async_dep_frontier_lsn_str0_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_b_async_dep_frontier_lsn_str0_r0.out,3,0,Dep frontier + separate LSN,49071793,1087951290,0,0,970098461,787082307,58020276990,870948082,1198991741,863174951,147274189808,5923890051,1694990142,75807714000,150.336777,0.413292,0.413292,19612.920635,0.413292,207.321403,2853,32,512,1024,1024,1024,1857523,496987961,1857523,1857523,323345,23,0,92,169419175,1857523,938915375,856873765,4087175228,38859,1,496215750832,104021288,13002661,12777600,767692,1675345,17,26,async_dep_frontier_lsn,0,0,745742,32191,5101174906,33259132238,32214,7273296,31109773943,2588052094,27876470518,7273296,1675345,7,1857523,0,296095475,183,1,187,2853,32,512,1024,1024,1024,1857372,1674965,1857507,135,101,1,0,0,2759325913,6527440,1111781,11975,0,21273376,151,600620871045,279251616,767692,36431137370,767692,385100958,0,929603,1304777224,0.000000,32,YCSB-B,ycsb_b,0.500457,702.434620
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,103,0.0001,2049,32,512,1024,1024,1024,257.583716,4,23,0,93,0,-nan,0,44541032.250000,1905228,1905214.000000,457.013737,415.711183,1,151917.279513,151911.299189,0.413651,1905139,1905214,476284.750000,0,cstamp,0.000000,0.000000,1000,2578.578903,3.916742,56.000412,15409.749058,7.000051,1367.084338,6.882624,13840.078770,3.916742,0.000000,64,74938.599460,74935.649453,7,75,476303.500000,0.000000,65536,1,188,667576 kB,async_dep_frontier_cstamp,1228.166414,66,3565348,289423533974,142768448436,115037.880000,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_b_async_dep_frontier_cstamp_str0_r0.perfstat.csv,262.806928,3.515155,0.000000,10.360271,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_b_async_dep_frontier_cstamp_str0_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/cstamp_ycsb_b_async_dep_frontier_cstamp_str0_r0.out,3,0,Dep frontier + cstamp,58766219,1304842048,0,0,1173319348,954985535,58814407508,1044356118,1401163289,866661659,144946478882,5897765778,1945936270,71484275110,150.219643,0.413651,0.413651,17937.759612,0.413651,187.775753,2049,32,512,1024,1024,1024,1905228,490752102,1905228,1905228,314244,23,0,93,178164129,1905228,870708969,792018765,4155486612,39570,1,500683728358,106692768,13336596,13112871,788093,0,8,14,async_dep_frontier_cstamp,0,0,765001,32326,4912744626,33372992755,32349,7462232,29358869642,2604588219,26368311833,7462232,0,7,1905228,0,0,187,1,188,2049,32,512,1024,1024,1024,1905139,0,1905214,75,66,1,0,0,2339919847,6697122,1140227,11849,0,19738533,89,598706956025,286200566,788093,34175270742,788093,357752993,0,952525,1229804425,0.000000,32,YCSB-B,ycsb_b,0.499957,645.494115
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,101,0.0000,3880,1024,1024,1024,1024,1024,151.728011,4,62,0,482,0,-nan,0,63025543.750000,2196550,2196518.000000,597.790900,549.753287,1,123939.117536,123912.992637,0.000000,2196055,2196518,549013.750000,0,frontier,0.000000,0.000000,1000,5175.874866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500142,64,52959.088230,52947.925081,7,463,549129.500000,283.562737,65536,2,1009,617740 kB,async_global_lsn_prefix,1994.099618,464,2941627,272177118761,116301070503,107874.910000,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str0_r0.perfstat.csv,1121.876805,0.000000,0.000000,9.098991,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str0_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str0_r0.out,3,0,Global LSN prefix,59124659,2147581940,0,0,1833188622,1647743286,28006303064,1726931204,2203058889,942104339,138778567259,2111526483,2872986550,95228018223,151.969735,0.000000,1.000015,34801.873315,1.000015,435.662553,3880,1024,1024,1024,1024,1024,2196550,333273307,2196550,2196550,1161774,62,0,482,252102175,2196550,1313058473,1207542990,3736383277,38112,1,2463703167676,0,0,0,0,3295089,32,64,async_global_lsn_prefix,0,0,2196550,35056,11368902310,30594336312,35079,0,0,0,0,0,3295089,7,2196550,0,622850655,1009,2,1009,3880,1024,1024,1024,1024,1024,2196055,3294354,2196518,463,464,1,0,0,4380075705,0,0,0,0,19986097,495,2551895633668,333804259,2196550,76442941171,2196550,956940640,0,0,3895051168,0.000000,32,YCSB-B,ycsb_b,0.000000,1773.284429
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,88,0.0000,2157,32,512,1024,1024,1024,271.046313,4,23,0,93,0,-nan,0,42541752.500000,1870672,1870650.000000,520.698835,494.393815,1,152638.475922,152630.887449,0.412497,1870557,1870650,467639.250000,0,frontier,0.000000,0.000000,1000,2707.365186,3.906492,56.000659,12537.723353,7.000082,1367.479129,6.882209,13527.496321,3.906492,0.899571,64,73845.548577,73841.877321,7,93,467662.500000,161.223622,65536,1,183,596152 kB,async_dep_frontier_lsn,1487.454776,93,3441063,285518969606,138132307810,113334.240000,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str0_r0.perfstat.csv,269.621965,3.505915,0.000000,10.553927,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str0_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str0_r0.out,3,0,Dep frontier + separate LSN,48479153,1160885287,0,0,1068378799,824362014,53617933717,913036981,1257058061,875758454,146376328867,5569448972,1780777962,79260209467,141.714195,0.412497,0.412497,22567.254186,0.412497,211.758190,2157,32,512,1024,1024,1024,1870672,507032785,1870672,1870672,323085,23,0,93,170167010,1870672,974045276,924837790,4016553699,38332,1,504343253465,104757632,13094704,12874204,771638,1682783,12,20,async_dep_frontier_lsn,0,0,749224,32212,5064532686,33254573290,32224,7307680,23453692190,2558074833,25305210993,7307680,1682783,7,1870672,0,301592968,180,1,183,2157,32,512,1024,1024,1024,1870557,1682464,1870650,93,93,1,0,0,2782507276,6558339,1121448,12026,0,19742704,115,604387170043,265097659,771638,42215434043,771638,396125459,0,933559,1314567878,0.000000,32,YCSB-B,ycsb_b,0.499056,702.733209
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,83,0.0000,3482,1024,1024,1024,1024,1024,156.140653,4,62,0,487,0,-nan,0,62863525.000000,2190640,2190609.000000,582.985179,552.629455,1,122565.160245,122536.849410,0.000000,2190103,2190609,547525.750000,0,frontier,0.000000,0.000000,1000,4990.103299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500231,64,52906.693561,52894.472856,7,506,547652.250000,276.075326,65536,2,989,614404 kB,async_global_lsn_prefix,2001.442188,508,2917871,268430325149,115871108288,106435.950000,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str100_r0.perfstat.csv,1137.181936,0.000000,0.000000,6.898812,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str100_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str100_r0.out,3,100,Global LSN prefix,45596543,2123627865,0,0,1803404751,1640807934,27739652743,1721566301,2187183469,940080649,138932363285,2095531525,2872453982,95762457523,151.375061,0.000000,1.000014,35233.715559,1.000014,413.218987,3482,1024,1024,1024,1024,1024,2190640,342043119,2190640,2190640,1177263,62,0,487,251454100,2190640,1277092579,1210595058,3740988516,38445,1,2490545569626,0,0,0,0,3286419,40,83,async_global_lsn_prefix,0,0,2190640,35008,10931365198,30230410607,35039,0,0,0,0,0,3286419,7,2190640,0,604773093,989,2,989,3482,1024,1024,1024,1024,1024,2190103,3285608,2190609,506,508,1,0,0,4384377271,0,0,0,0,15112600,537,2578961366155,331603572,2190640,77183294406,2190640,905201231,0,0,3438796179,0.000000,32,YCSB-B,ycsb_b,0.000000,1569.790035
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,97,0.0001,2671,32,512,1024,1024,1024,268.660179,4,23,0,95,0,-nan,0,41464847.500000,1819777,1819754.000000,478.045502,439.544466,1,149522.288397,149514.071776,0.413790,1819654,1819754,454913.500000,0,frontier,0.000000,0.000000,1000,2689.549041,3.913715,56.000708,18152.372893,7.000088,1437.389265,6.877349,15695.355263,3.913715,0.901541,64,75042.892694,75038.768901,7,100,454938.500000,153.425054,65536,1,196,634096 kB,async_dep_frontier_lsn,1509.175674,95,3633531,272078830170,136552099862,108346.110000,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str100_r0.perfstat.csv,280.052401,3.512380,0.000000,8.931047,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str100_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str100_r0.out,3,100,Dep frontier + separate LSN,53162541,1085185831,0,0,990028464,778424138,59258618894,860153583,1192994388,844552463,147092045822,6064992575,1697385288,74266547657,147.831670,0.413790,0.413790,19071.898170,0.413790,201.042089,2671,32,512,1024,1024,1024,1819777,488895435,1819777,1819777,337804,23,0,95,165859390,1819777,869925215,799862801,4151270594,39478,1,509598472149,101907512,12738439,12515083,752996,1640583,13,22,async_dep_frontier_lsn,0,0,730239,31669,4894317626,32727735065,31692,7121998,33032853182,2615694864,28561685521,7121998,1640583,7,1819777,0,279195855,196,1,196,2671,32,512,1024,1024,1024,1819654,1640183,1819754,100,95,1,0,0,2746328469,6391668,1089538,12010,0,16252308,123,614729340641,269017272,752996,34706162982,752996,365847146,0,910344,1249072657,0.000000,32,YCSB-B,ycsb_b,0.500257,686.396434
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,123,0.0001,3440,1024,1024,1024,1024,1024,127.194972,4,63,0,595,0,-nan,0,66642944.500000,2321464,2321436.000000,546.731100,487.462224,1,132546.608142,132505.441336,0.000000,2320715,2321436,580178.750000,0,frontier,0.000000,0.000000,1000,4658.738294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500100,64,51995.883414,51979.734344,7,721,580359.000000,280.042294,65536,1,1021,653584 kB,async_global_lsn_prefix,1989.782621,724,2872768,307602901714,120667626577,121534.680000,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str500_r0.perfstat.csv,1297.676848,0.000000,0.000000,7.944923,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str500_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_global_lsn_prefix_str500_r0.out,3,500,Global LSN prefix,72934983,2645655997,0,0,2250068483,2048122750,32771269170,2130741793,2673549466,1000132165,134531585095,2398993138,3440697667,83099419483,150.906690,0.000000,1.000012,27191.850105,1.000012,418.045768,3440,1024,1024,1024,1024,1024,2321464,295274988,2321464,2321464,1329568,63,0,595,266571778,2321464,1269201257,1131612356,3811730447,38492,1,3011538125220,0,0,0,0,3482385,44,112,async_global_lsn_prefix,0,0,2321464,36666,10814962791,27459108928,36694,0,0,0,0,0,3482385,7,2321464,0,650100263,1021,1,1021,3440,1024,1024,1024,1024,1024,2320715,3481266,2321436,721,724,1,0,0,4619153009,0,0,0,0,18443630,749,3086544961164,350320223,2321464,63124139741,2321464,970466496,0,0,3847325238,0.000000,32,YCSB-B,ycsb_b,0.000000,1657.304030
2100,5,10,10,100,10000,0,50,32,1,10,0,95,100000,0,0,100,0.0001,3014,32,512,1024,2048,2048,268.021055,4,23,0,111,0,-nan,0,41381310.500000,1816553,1816535.000000,482.735585,432.136396,1,150808.307502,150799.590427,0.416132,1816430,1816535,454107.500000,0,frontier,0.000000,0.000000,1000,2602.746824,3.915606,56.000555,18312.424506,7.000069,1414.087774,6.877170,15923.913709,3.915606,0.901537,64,74730.993243,74726.673616,7,105,454133.750000,150.754892,65536,1,207,676268 kB,async_dep_frontier_lsn,1483.493604,98,3549285,273932733996,135743618057,109022.630000,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str500_r0.perfstat.csv,321.605808,3.514104,0.000000,10.460477,0,1,1,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str500_r0.err,results/tidewal_diagnostic_effects_20260608_184711/logs/frontier_ycsb_b_async_dep_frontier_lsn_str500_r0.out,3,500,Dep frontier + separate LSN,54802079,1150870370,0,0,1025280332,811607747,59615939275,901131202,1260345315,829259758,146510652535,5973764407,1752349571,73135302479,153.612726,0.416132,0.416132,18341.116087,0.416132,197.242899,3014,32,512,1024,2048,2048,1816553,486869628,1816553,1816553,378958,23,0,111,165525242,1816553,876906085,784990888,4165010939,38846,1,584174437341,101726968,12715871,12492620,755918,1637673,13,48,async_dep_frontier_lsn,0,0,729233,30651,4727980702,31684117678,30665,7112835,33265160050,2568739934,28926346590,7112835,1637673,7,1816553,0,273851538,203,1,207,3014,32,512,1024,2048,2048,1816430,1636972,1816535,105,98,1,0,0,2694818054,6383493,1087320,12070,0,19001823,123,688397693978,279042894,755918,33317279312,755918,358298629,0,908440,1248857297,0.000000,32,YCSB-B,ycsb_b,0.500095,687.494211
