ack_tps,context_switches,cycles_per_acked_tx,dep_wait_conditions_per_tx,durable_lag_avg,durable_lag_max,experiment,global_atomic_per_tx,instructions_per_acked_tx,logical_minus_acked,lsn_alloc_ns_per_tx,mode,p99_us,pending,queue_wait_us_per_acked_tx,repeats,straggler_sleep_us,system,workload
311792.2,3887329.0,214300.02529820002,1.0967027999999999,22.4,43.2,cstamp,0.0,140595.69962779997,171.2,0.0,async_dep_frontier_cstamp,1024.0,155.4,699.6375594000001,5,0,Dep frontier + cstamp,YCSB-A
304239.65,3727078.4,216986.94161,1.0948082,22.8,38.2,cstamp,5.999890800000001,140517.17445,178.6,1056.6192575999999,async_dep_frontier_lsn,1024.0,160.2,712.9951988,5,0,Dep frontier + separate LSN,YCSB-A
465378.05,3622870.6,150541.19789620003,0.4131218,10.4,16.6,cstamp,0.0,75472.59740320001,85.6,0.0,async_dep_frontier_cstamp,1024.0,83.6,262.43745179999996,5,0,Dep frontier + cstamp,YCSB-B
459586.15,3586539.2,150813.7491666,0.41264780000000006,13.0,23.4,cstamp,0.9006404,74691.63641220001,102.2,154.4655866,async_dep_frontier_lsn,1024.0,95.6,265.53279499999996,5,0,Dep frontier + separate LSN,YCSB-B
462479.35,3552728.0,151446.7334852,0.4130764,12.0,22.4,frontier,0.9009933999999999,74446.12763819999,94.6,155.1682256,async_dep_frontier_lsn,1024.0,93.4,266.6756448,5,0,Dep frontier + separate LSN,YCSB-B
453517.35,3581924.2,150508.6505432,0.41376339999999995,14.4,23.2,frontier,0.9015586000000001,74805.0756202,111.0,159.0581612,async_dep_frontier_lsn,1024.0,106.4,281.468355,5,100,Dep frontier + separate LSN,YCSB-B
457617.9,3539735.4,149827.47477779997,0.41627359999999997,14.6,36.4,frontier,0.9015798,74545.02996739998,115.6,156.48275719999998,async_dep_frontier_lsn,2048.0,109.2,323.3526852,5,500,Dep frontier + separate LSN,YCSB-B
459936.5,3482299.8,149887.9103394,0.4190288,14.6,36.6,frontier,0.9009025999999999,74197.55855799999,122.4,154.8521844,async_dep_frontier_lsn,2048.0,91.6,377.86528280000005,5,1000,Dep frontier + separate LSN,YCSB-B
545815.25,2926735.0,123771.91935040001,0.0,41.2,71.2,frontier,1.5002874,53058.52625699999,514.8,283.00395599999996,async_global_lsn_prefix,1024.0,483.4,1120.944413,5,0,Global LSN prefix,YCSB-B
541390.3,2906504.4,123358.63930199998,0.0,36.6,65.8,frontier,1.4998626,52984.53728519999,447.0,287.6214724,async_global_lsn_prefix,1024.0,453.4,1150.1136118,5,100,Global LSN prefix,YCSB-B
584141.45,2909453.0,130643.3521326,0.0,47.4,89.2,frontier,1.4999702,52097.5243318,587.2,287.4855924,async_global_lsn_prefix,1024.0,590.6,1296.5915768,5,500,Global LSN prefix,YCSB-B
432092.1,2113011.6,203647.80027,0.0,1511.4,10390.2,frontier,1.5003948,180425.326401,65374.6,301.7793942,async_global_lsn_prefix,131072.0,65378.8,185174.82004239998,5,1000,Global LSN prefix,YCSB-B
