dso,mode,rank,report_log,self_pct,symbol,system,worker_threads,workload,workload_mode
ycsb_ermia_pwal.exe,single_wal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,21.10,TxExecutor::ssn_parallel_commit,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,2,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,18.26,worker,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,3,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,7.01,"YcsbWorkload::partTableInit<Tuple, void>",Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,4,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,6.05,MasstreeWrapper<Tuple>::get_value,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,5,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,5.11,update_sg_lb_stats,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,6,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,4.43,TxExecutor::install_version,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,7,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,2.88,update_load_avg,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,8,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,2.75,TxExecutor::abort,Single WAL,32,YCSB-A,ycsb_a
[vdso],single_wal,9,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,2.73,0x00000000000006e5,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],single_wal,10,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,2.48,x86_pmu_disable,Single WAL,32,YCSB-A,ycsb_a
ycsb_ermia_pwal.exe,single_wal,11,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,2.44,TxExecutor::begin,Single WAL,32,YCSB-A,ycsb_a
libc.so.6,single_wal,12,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_single_wal.report.nochildren.txt,2.28,pthread_mutex_lock@@GLIBC_2.2.5,Single WAL,32,YCSB-A,ycsb_a
[kernel.kallsyms],pwal,1,results/tidewal_perf_eval_20260608_165844/perf_record_logs/ycsb_a_pwal.report.nochildren.txt,39.58,native_queued_spin_lock_slowpath.part.0,P-WAL,32,YCSB-A,ycsb_a
