system,workers,cache_miss_ratio_pct,llc_load_miss_ratio_pct,tps_mean
Single WAL,12,17.51,11.05,8048
Single WAL,24,16.50,10.07,7995
Single WAL,36,16.25,9.94,7985
Single WAL,48,16.35,10.01,7977
Single WAL,60,16.50,10.17,7946
Single WAL,72,16.53,10.30,7900
Single WAL,84,16.74,10.54,7866
Single WAL,96,16.89,10.70,7850
P-WAL,12,35.94,31.39,38533
P-WAL,24,34.87,29.36,43547
P-WAL,36,34.01,28.30,45997
P-WAL,48,31.31,25.74,47805
P-WAL,60,30.90,25.61,47836
P-WAL,72,30.77,25.55,49651
P-WAL,84,30.72,25.42,50383
P-WAL,96,30.17,25.19,48080
Ayame,12,34.66,28.75,232820
Ayame,24,40.95,35.08,247545
Ayame,36,38.97,33.08,255445
Ayame,48,38.86,33.51,236457
Ayame,60,38.50,33.42,231113
Ayame,72,37.87,33.22,226886
Ayame,84,35.95,31.58,210464
Ayame,96,34.70,30.13,201296
