workload_mode,workload,system,total_threads,worker_threads,logger_num,committer_num,ack_tps,p99_us,pending,read_only_commits_per_tx,frontier_collect_ns_per_tx,frontier_publish_ns_per_tx,fdatasync_ns_per_tx
ycsb_a,YCSB-A,P-WAL,1,1.0,1.0,0.0,11036.416666666666,128.0,0.0,0.0009893351137140757,0.0,0.0,87697.88598566665
ycsb_a,YCSB-A,P-WAL,2,2.0,2.0,0.0,18563.416666666668,128.0,0.0,0.001008742799128845,0.0,0.0,98587.61852866667
ycsb_a,YCSB-A,P-WAL,4,4.0,4.0,0.0,31095.083333333332,128.0,0.0,0.0009339913138611844,0.0,0.0,106780.01226733334
ycsb_a,YCSB-A,P-WAL,8,8.0,8.0,0.0,45717.0,256.0,0.0,0.0009372229742301423,0.0,0.0,137080.09809
ycsb_a,YCSB-A,P-WAL,16,16.0,16.0,0.0,60840.0,256.0,0.0,0.0009244549374978727,0.0,0.0,202989.91757833332
ycsb_a,YCSB-A,P-WAL,32,32.0,32.0,0.0,71581.75,512.0,0.0,0.000986063685839109,0.0,0.0,338712.4396226667
ycsb_a,YCSB-A,Single WAL,1,1.0,0.0,0.0,10757.416666666666,128.0,0.0,0.0008705247324560054,0.0,0.0,87638.00628333334
ycsb_a,YCSB-A,Single WAL,2,2.0,0.0,0.0,10707.833333333334,256.0,0.0,0.0009417284233528628,0.0,0.0,88252.08227233333
ycsb_a,YCSB-A,Single WAL,4,4.0,0.0,0.0,10709.5,256.0,0.0,0.0010117639472856873,0.0,0.0,87831.84710766666
ycsb_a,YCSB-A,Single WAL,8,8.0,0.0,0.0,10278.416666666666,1024.0,0.0,0.0011166168086375642,0.0,0.0,91315.759347
ycsb_a,YCSB-A,Single WAL,16,16.0,0.0,0.0,10168.5,2048.0,0.0,0.0008847726315558231,0.0,0.0,92750.63541599999
ycsb_a,YCSB-A,Single WAL,32,32.0,0.0,0.0,10119.416666666666,4096.0,0.0,0.0009717957877936655,0.0,0.0,92666.11306166666
ycsb_a,YCSB-A,TideWAL,4,2.0,1.0,1.0,96228.0,65536.0,5090.0,0.0009692324041120966,1916.3644043333334,3048.349597666667,8927.618805333334
ycsb_a,YCSB-A,TideWAL,8,5.0,2.0,1.0,146405.33333333334,524288.0,65517.666666666664,0.0009737645900129667,3613.5788313333337,5107.373726333332,10341.892822666667
ycsb_a,YCSB-A,TideWAL,16,12.0,3.0,1.0,230338.41666666666,65536.0,22286.666666666668,0.0009893820085422648,6591.220421999999,9550.308562,11048.002429666667
ycsb_a,YCSB-A,TideWAL,32,24.0,7.0,1.0,297147.0,8192.0,507.6666666666667,0.0009526134877930161,16833.204307666667,22314.801375,19119.975161333336
