config,thread_num,logger_num,committer_num,group_size,flush_us,ack_tps_mean,ack_tps_stdev,ratio_vs_pwal,p99_us_median,pwal_p99_us,pending_mean,read_only_commits_per_tx,read_frontier_updates_per_tx,write_frontier_updates_per_tx,frontier_alloc_count_per_tx,frontier_shared_ptr_count_per_tx,frontier_collect_ns_per_tx,frontier_publish_ns_per_tx,fdatasync_ns_per_tx,before_ack_tps_mean,speedup_vs_before,before_p99_us_median,before_frontier_publish_ns_per_tx
tuned_l4_c1_g16_f50,1,4,1,16,50,85371.111,630.532,6.700,256.000,128.000,7.667,0.598109,3.517713,0.501342,3.919638,3.919638,887.079,1466.692,6150.857,64465.444,1.324,256.000,4016.841
tuned_l4_c1_g16_f50,2,4,1,16,50,130804.333,3221.004,5.888,256.000,128.000,9.000,0.599483,3.506061,0.499197,3.906605,3.906605,1323.826,2096.801,7646.493,91500.778,1.430,256.000,6934.848
tuned_l4_c1_g16_f50,4,4,1,16,50,194043.111,10225.827,4.674,256.000,128.000,17.667,0.598538,3.515068,0.499706,3.916569,3.916569,2126.358,3163.434,10556.127,138642.222,1.400,256.000,9766.134
tuned_l4_c1_g16_f50,8,4,1,16,50,287434.222,6345.623,4.271,256.000,128.000,22.667,0.598731,3.512850,0.499991,3.914162,3.914162,3114.272,4482.343,7427.654,181624.778,1.583,256.000,16764.117
tuned_l4_c1_g16_f50,16,4,1,16,50,336633.667,1805.222,3.820,256.000,256.000,36.667,0.599020,3.510709,0.499375,3.911742,3.911742,6755.209,8366.774,6320.605,196097.111,1.717,256.000,37095.289
tuned_l4_c1_g16_f50,32,4,1,16,50,374002.667,6313.772,3.430,512.000,512.000,48.667,0.598587,3.514180,0.500449,3.915649,3.915649,14166.481,14776.040,5892.885,176546.556,2.118,256.000,100063.837
default_l8_c1_g8_f100,1,8,1,8,100,83699.556,1268.238,6.569,256.000,128.000,6.000,0.599169,3.508965,0.499434,3.909822,3.909822,865.240,1636.747,5405.670,,,,
default_l8_c1_g8_f100,2,8,1,8,100,127732.333,2433.867,5.749,256.000,128.000,10.333,0.598279,3.516746,0.500575,3.918500,3.918500,1295.119,2341.275,6448.234,,,,
default_l8_c1_g8_f100,4,8,1,8,100,204159.889,17242.670,4.918,256.000,128.000,18.667,0.598626,3.513670,0.500214,3.915090,3.915090,1892.649,3173.713,8100.904,,,,
default_l8_c1_g8_f100,8,8,1,8,100,281247.111,8208.975,4.179,256.000,128.000,29.000,0.598869,3.511884,0.499657,3.913080,3.913080,3281.651,5054.864,12159.247,,,,
default_l8_c1_g8_f100,16,8,1,8,100,343537.778,1492.407,3.898,512.000,256.000,41.333,0.598743,3.512926,0.499985,3.914274,3.914274,6469.570,8377.033,10647.140,,,,
default_l8_c1_g8_f100,32,8,1,8,100,374800.889,5187.078,3.438,512.000,512.000,55.000,0.598827,3.512221,0.500090,3.913518,3.913518,14560.723,15064.047,10000.973,,,,
