config,logger_num,committer_num,group_size,flush_us,thread_num,ack_tps_mean,ack_tps_stdev,ratio_vs_pwal,p99_us_median,pwal_p99_us,pending_mean,frontier_collect_ns_per_tx,frontier_publish_ns_per_tx,fdatasync_ns_per_tx
flat_stable_l4_c1_g16_f50,4,1,16,50,1,64465.444,262.391,5.059,256.000,128,12.000,811.154,4016.841,8170.094
flat_stable_l4_c1_g16_f50,4,1,16,50,2,91500.778,12925.054,4.119,256.000,128,17.333,1469.782,6934.848,11228.570
flat_stable_l4_c1_g16_f50,4,1,16,50,4,138642.222,12244.510,3.340,256.000,128,26.333,2210.490,9766.134,15086.701
flat_stable_l4_c1_g16_f50,4,1,16,50,8,181624.778,6652.539,2.699,256.000,128,31.667,4375.882,16764.117,11240.043
flat_stable_l4_c1_g16_f50,4,1,16,50,16,196097.111,3748.648,2.225,256.000,256,53.667,12976.783,37095.289,10689.157
flat_stable_l4_c1_g16_f50,4,1,16,50,32,176546.556,2381.689,1.619,256.000,512,52.000,48586.454,100063.837,11525.294
high_32_l16_c2_g8_f100,16,2,8,100,1,58654.889,435.753,4.603,256.000,128,10.333,856.380,5103.862,10821.315
high_32_l16_c2_g8_f100,16,2,8,100,2,83028.778,5895.513,3.737,256.000,128,17.000,1437.086,8259.568,11499.809
high_32_l16_c2_g8_f100,16,2,8,100,4,137338.556,5757.422,3.308,256.000,128,28.333,1974.012,10457.092,13643.739
high_32_l16_c2_g8_f100,16,2,8,100,8,172871.222,9487.347,2.569,256.000,128,39.333,4202.602,19053.948,20057.574
high_32_l16_c2_g8_f100,16,2,8,100,16,176122.444,10678.892,1.998,512.000,256,55.333,16516.272,44948.461,43023.926
high_32_l16_c2_g8_f100,16,2,8,100,32,171965.444,10785.455,1.577,512.000,512,64.000,50271.462,102381.427,43939.811
high_8_l8_c1_g16_f0,8,1,16,0,1,60822.222,134.426,4.773,256.000,128,8.000,867.866,4646.831,11800.957
high_8_l8_c1_g16_f0,8,1,16,0,2,96248.333,811.811,4.332,256.000,128,16.667,1302.877,6609.093,14273.977
high_8_l8_c1_g16_f0,8,1,16,0,4,138105.889,18697.148,3.327,256.000,128,18.333,2216.654,10594.987,19731.043
high_8_l8_c1_g16_f0,8,1,16,0,8,181891.889,11174.616,2.703,256.000,128,43.000,4412.645,17906.524,29548.847
high_8_l8_c1_g16_f0,8,1,16,0,16,194723.000,4316.114,2.209,256.000,256,48.000,14535.648,38232.670,26748.872
high_8_l8_c1_g16_f0,8,1,16,0,32,171980.667,3520.888,1.577,256.000,512,40.000,51831.065,102941.034,29767.016
