system,thread_num,ack_tps,p99_us,pending
Single WAL,1,13097.85,77.29020539872084,0.0
P-WAL,1,12741.6,128.0,0.0
TideWAL,1,85371.111,256.0,7.667
Single WAL,2,12774.95,154.56249154736375,0.0
P-WAL,2,22216.6,128.0,0.0
TideWAL,2,130804.333,256.0,9.0
Single WAL,4,12814.95,309.4179075614001,0.0
P-WAL,4,41511.35,128.0,0.0
TideWAL,4,194043.111,256.0,17.667
Single WAL,8,12340.3,652.3822144298791,0.0
P-WAL,8,67298.6,128.0,0.0
TideWAL,8,287434.222,256.0,22.667
Single WAL,16,11950.9,1333.472236691322,0.0
P-WAL,16,88130.15,256.0,0.0
TideWAL,16,336633.667,256.0,36.667
Single WAL,32,12022.55,2667.333500041677,0.0
P-WAL,32,109029.2,512.0,0.0
TideWAL,32,374002.667,512.0,48.667
