FLAGS_clocks_per_us,FLAGS_extime,FLAGS_gc_inter_us,FLAGS_max_ope,FLAGS_pre_reserve_tmt_element,FLAGS_pre_reserve_version,FLAGS_rmw,FLAGS_rratio,FLAGS_thread_num,FLAGS_ycsb,FLAGS_ycsb_max_ope,FLAGS_ycsb_rmw,FLAGS_ycsb_rratio,FLAGS_ycsb_tuple_num,FLAGS_ycsb_zipf_skew,FLAGS_zipf_skew,abort_counts_,abort_rate,ack_latency_max_us,ack_latency_p50_us,ack_latency_p90_us,ack_latency_p95_us,ack_latency_p999_us,ack_latency_p99_us,ack_process_ns_per_tx,actual_extime,avg_batch_size,avg_ready_queue_len,avg_waitlist_len,batch_abort_counts_,batch_abort_rate,batch_commit_counts_,bytes_flushed_per_sec,commit_counts_,commits_per_fdatasync,committer_event_ns_per_tx,committer_num,dep_wait_conditions_per_tx,derived_acked_commits,derived_logical_commits,durable_ack_tps,exit_code,fdatasync_ns_per_tx,fdatasync_per_sec,flush_us,frontier_alloc_count_per_tx,frontier_bytes_per_tx,frontier_collect_ns_per_tx,frontier_entries_per_tx,frontier_merge_ns_per_tx,frontier_nonzero_entries_per_tx,frontier_publish_ns_per_tx,frontier_shared_ptr_count_per_tx,global_atomic_per_tx,group_size,logger_num,logical_minus_acked,logical_tps,lsn_alloc_ns_per_tx,max_pending,max_ready_queue_len,max_waitlist_len,maxrss,mode,payload_build_ns_per_tx,pending_commits,queue_wait_us_per_acked_tx,read_frontier_updates_per_tx,ready_queue_push_ns_per_tx,repeat,seconds,stderr_log,stdout_log,thread_num,tx_breakdown_abort_cleanup_ns,tx_breakdown_commit_cleanup_ns,tx_breakdown_delete_ns,tx_breakdown_insert_ns,tx_breakdown_maintenance_ns,tx_breakdown_node_validation_ns,tx_breakdown_read_ns,tx_breakdown_ssn_exclusion_ns,tx_breakdown_ssn_finalize_eta_ns,tx_breakdown_ssn_finalize_pi_ns,tx_breakdown_total_accounted_ns,tx_breakdown_update_ns,tx_breakdown_version_install_ns,tx_breakdown_wal_log_ns,version_install_ns_per_tx,waiting_conditions_per_tx,waitlist_pops_per_tx,waitlist_registration_ns_per_tx,waitlist_registrations_per_tx,wal_enqueue_ns_per_tx,wal_stats_ack_latency_max_us,wal_stats_ack_latency_p50_us,wal_stats_ack_latency_p90_us,wal_stats_ack_latency_p95_us,wal_stats_ack_latency_p999_us,wal_stats_ack_latency_p99_us,wal_stats_ack_latency_samples,wal_stats_ack_process_ns,wal_stats_acked_commits,wal_stats_async_acked_commits,wal_stats_avg_accounted_ns_per_commit,wal_stats_avg_batch_size,wal_stats_avg_ready_queue_len,wal_stats_avg_waitlist_len,wal_stats_bytes,wal_stats_commits,wal_stats_committer_event_ns,wal_stats_committer_num,wal_stats_committer_queue_wait_ns,wal_stats_dep_frontier_bytes,wal_stats_dep_frontier_entries,wal_stats_dep_frontier_nonzero_entries,wal_stats_dep_wait_conditions,wal_stats_durable_global_lsn,wal_stats_durable_mode,wal_stats_fdatasync_count,wal_stats_fdatasync_ns,wal_stats_flushed_commits,wal_stats_flusher_batches,wal_stats_frontier_alloc_count,wal_stats_frontier_collect_ns,wal_stats_frontier_merge_ns,wal_stats_frontier_publish_ns,wal_stats_frontier_shared_ptr_count,wal_stats_global_atomic_count,wal_stats_logger_num,wal_stats_logical_commits,wal_stats_logical_minus_acked,wal_stats_lsn_alloc_ns,wal_stats_max_pending_commits,wal_stats_max_ready_queue_len,wal_stats_max_waitlist_len,wal_stats_measured_ack_latency_max_us,wal_stats_measured_ack_latency_p50_us,wal_stats_measured_ack_latency_p90_us,wal_stats_measured_ack_latency_p95_us,wal_stats_measured_ack_latency_p999_us,wal_stats_measured_ack_latency_p99_us,wal_stats_measured_acked_commits,wal_stats_measured_durable_global_lsn,wal_stats_measured_logical_commits,wal_stats_measured_logical_minus_acked,wal_stats_measurement_pending_commits,wal_stats_measurement_stop_recorded,wal_stats_mutex_wait_ns,wal_stats_notify_wait_ns,wal_stats_payload_build_ns,wal_stats_read_frontier_updates,wal_stats_ready_queue_push_ns,wal_stats_shutdown_drain_acked_commits,wal_stats_total_accounted_ns,wal_stats_version_install_ns,wal_stats_waitlist_pops,wal_stats_waitlist_registration_ns,wal_stats_waitlist_registrations,wal_stats_wal_enqueue_ns,wal_stats_worker_stall_ns,wal_stats_write_frontier_updates,wal_stats_write_ns,worker_stall_ns_per_tx,worker_threads,workload_mode,write_frontier_updates_per_tx,write_ns_per_tx
2100,5,10,10,100,10000,0,50,1,1,10,0,95,100000,0,0,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,1508528.500000,55583,55583.000000,0.000000,0,0.000000,55583,55583,13895.750000,0,77010.440296,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,13895.750000,0.000000,0,0,0,221560 kB,ermia_single_wal,1723.860911,0,0.000000,0.000000,0.000000,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th1_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th1_r0.out,1,0,3614906,0,0,4347070,1656210,301571246,1625776,1705870,3935472,4929765931,18312786,15949216,4577047379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,82083,,,,6034114,55583,,,,,,,,,,,4280471303,,,,,,,,,,,,,,,,,,,,,,,,,,,,3336585,0,95817361,,,,4562439492,,,,,,,,182814243,0.000000,1,ycsb_b,0.000000,3289.031592
2100,5,10,10,100,10000,0,50,1,1,10,0,95,100000,0,0,0,0.0000,4125,64,64,64,128,64,0.000000,4,0,0,0,0,-nan,0,1385868.000000,51142,0.999980,0.000000,0,0.000000,51141,51141,12785.250000,0,79558.418177,12785.500000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.499599,0,1,0,12785.250000,43.204924,0,0,0,221576 kB,ermia_plain_pwal,1904.021998,0,0.000000,0.000000,0.000000,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_plain_pwal_th1_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_plain_pwal_th1_r0.out,1,0,3327228,0,0,4046242,1533793,332008936,1518207,1570091,3739339,4935589969,25094379,14435464,4548316290,115.947479,0.000000,0.000000,0.000000,0.000000,0.000000,4125,64,64,64,128,64,51142,0,51142,0,88223,0,0,0,5543472,51142,0,1,0,0,0,0,0,76691,sync,51142,4068697064,0,0,0,0,0,0,0,76691,1,51142,0,2209543,0,0,0,4125,64,64,64,128,64,51141,76689,51141,0,0,1,1707497,2704664,97373589,0,0,1,4511932049,5929670,0,0,0,0,0,0,333310022,0.000000,1,ycsb_b,0.000000,6517.471735
2100,5,10,10,100,10000,0,50,1,1,10,0,95,100000,0,0,0,0.0000,6770,128,256,256,4096,512,123.323643,4,7,0,13,0,-nan,0,8390907.750000,294371,7.989442,498.920386,1,1.000000,294354,294371,73588.500000,0,10492.981146,9211.250000,100,10.498541,64.000000,968.234446,8.000000,506.464642,0.950855,4848.827456,10.498541,0.000000,8,8,17,73592.750000,0.000000,65536,1,402,256112 kB,ermia_async_dep_frontier_cstamp,926.198739,17,212.148939,9.498541,53.030947,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_async_dep_frontier_cstamp_th1_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_async_dep_frontier_cstamp_th1_r0.out,1,0,11891147,0,0,22677324,8901514,2170650750,9093487,9196077,22098775,4704156021,211157900,81883155,2156605892,80.179454,1.000000,1.000000,294.785312,1.000000,171.613393,6770,128,256,256,4096,512,294371,36302904,294371,294371,233538,7,0,13,33563631,294371,146867693,1,62446888745,18839744,2354968,279904,294371,0,async_dep_frontier_cstamp,36845,3088829353,294371,36845,3090466,285020142,149088503,1427354187,3090466,0,8,294371,0,0,402,1,402,6770,128,256,256,4096,512,294354,0,294371,17,17,1,0,0,272646049,2796095,15610773,17,68746936763,23602506,294371,86776247,294371,50518006,0,147471,717431655,0.000000,1,ycsb_b,0.500970,2437.168250
2100,5,10,10,100,10000,0,50,2,1,10,0,95,100000,0,0,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,1420974.750000,52076,52076.000000,0.000000,0,0.000000,52076,52076,13019.000000,0,80421.440299,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2,0,13019.000000,0.000000,0,0,0,222096 kB,ermia_single_wal,1762.305342,0,0.000000,0.000000,0.000000,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th2_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th2_r0.out,2,0,10272239,0,0,9283339,1597837,288480861,1516153,2013298,6809162,9914896605,17647033,20939314,9556337369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,181674,,,,5683899,52076,,,,,,,,,,,4188026925,,,,,,,,,,,,,,,,,,,,,,,,,,,,4791876979,0,91773813,,,,9460904562,,,,,,,,389226845,0.000000,2,ycsb_b,0.000000,7474.207792
2100,5,10,10,100,10000,0,50,2,1,10,0,95,100000,0,0,0,0.0000,4010,64,64,64,128,128,0.000000,4,0,0,0,0,-nan,0,2383491.250000,87186,0.999977,0.000000,0,0.000000,87184,87184,21796.000000,0,86084.813154,21796.500000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.502168,0,2,0,21796.000000,154.165329,0,0,0,225716 kB,ermia_plain_pwal,2036.962585,0,0.000000,0.000000,0.000000,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_plain_pwal_th2_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_plain_pwal_th2_r0.out,2,0,13378239,0,0,15574300,10942937,568441880,3123921,6731820,22986284,9769449700,48460496,36362332,9043447491,130.225466,0.000000,0.000000,0.000000,0.000000,0.000000,4010,64,64,64,128,128,87186,0,87186,0,101884,0,0,0,9533965,87186,0,1,0,0,0,0,0,130965,sync,87186,7505218350,0,0,0,0,0,0,0,130965,2,87186,0,13440750,0,0,0,4010,64,64,64,128,128,87184,130963,87184,0,0,1,16091804,114201182,177590546,0,0,2,8882928198,11353577,0,0,0,0,0,0,1045031989,0.000000,2,ycsb_b,0.000000,11986.511160
2100,5,10,10,100,10000,0,50,2,1,10,0,95,100000,0,0,1,0.0000,6507,128,256,256,4096,256,122.122294,4,7,0,22,0,-nan,0,13408055.500000,469519,7.987292,395.708036,1,1.001037,469503,469517,117375.750000,0,10963.486481,14695.750000,100,10.499207,64.000273,1427.862957,8.000034,688.264238,1.924133,6675.203765,10.499207,0.000000,8,8,14,117379.250000,0.000000,65536,1,572,270984 kB,ermia_async_dep_frontier_cstamp,984.014411,15,232.309931,9.499190,51.643693,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_async_dep_frontier_cstamp_th2_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_async_dep_frontier_cstamp_th2_r0.out,2,817080,38639142,0,0,64924110,37991019,3868891824,16053532,20024703,84584838,9308050845,391745504,156688466,4627690627,64.474230,1.001037,1.001037,497.880339,1.001037,194.355572,6507,128,256,256,4096,256,469519,57338493,469519,469519,257628,7,0,22,53632222,469519,185791650,1,109070209640,30049216,3756152,903413,470004,0,async_dep_frontier_cstamp,58783,5147543282,469519,58783,4929556,670405932,323151760,3134121646,4929556,0,8,469519,0,0,564,1,572,6507,128,256,256,4096,256,469503,0,469517,14,15,1,0,0,462011494,4460031,24247592,16,120961347060,30271747,470004,233763283,470004,91253245,0,234929,1531237296,0.000000,2,ycsb_b,0.500363,3261.303203
2100,5,10,10,100,10000,0,50,4,1,10,0,95,100000,0,0,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,1418477.000000,52060,52060.000000,0.000000,0,0.000000,52060,52060,13015.000000,0,80509.880945,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4,0,13015.000000,0.000000,0,0,0,225336 kB,ermia_single_wal,1805.132194,0,0.000000,0.000000,0.000000,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th4_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th4_r0.out,4,0,10530795,0,0,7163009,1570101,288240718,1525167,2034866,11711131,19919016254,18005137,21353586,19556881744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,373854,,,,5673908,52060,,,,,,,,,,,4191344402,,,,,,,,,,,,,,,,,,,,,,,,,,,,14798036153,0,93975182,,,,19462873177,,,,,,,,379517440,0.000000,4,ycsb_b,0.000000,7290.000768
2100,5,10,10,100,10000,0,50,4,1,10,0,95,100000,0,0,1,0.0000,4741,64,64,128,128,128,0.000000,4,0,0,0,0,-nan,0,4689506.250000,169623,0.999976,0.000000,0,0.000000,169619,169619,42404.750000,0,88654.794339,42405.750000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.501536,0,4,0,42404.750000,145.001203,0,0,0,234620 kB,ermia_plain_pwal,2069.841303,0,0.000000,0.000000,0.000000,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_plain_pwal_th4_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_plain_pwal_th4_r0.out,4,116966,24034105,0,0,27127963,16823800,1032836501,7876579,14975468,37076889,19607429474,87781779,63658988,18295120436,99.480212,0.000000,0.000000,0.000000,0.000000,0.000000,4741,64,64,128,128,128,169623,0,169623,0,106246,0,0,0,18758025,169623,0,1,0,0,0,0,0,254689,sync,169623,15037537561,0,0,0,0,0,0,0,254689,4,169623,0,24594959,0,0,0,4741,64,64,128,128,128,169619,254684,169619,0,0,1,21133402,522265943,351084412,0,0,4,18021834313,16873734,0,0,0,0,0,0,2048344302,0.000000,4,ycsb_b,0.000000,12076.148910
2100,5,10,10,100,10000,0,50,4,1,10,0,95,100000,0,0,8,0.0000,3086,128,256,256,2048,256,139.252571,4,7,0,41,0,-nan,0,22704529.000000,794110,7.955320,459.542582,1,1.002846,794071,794108,198517.750000,0,13538.705980,24955.250000,100,10.499630,64.000161,1784.919199,8.000020,848.929765,3.890777,8472.607296,10.499630,0.000000,8,8,37,198527.000000,0.000000,65536,1,496,358312 kB,ermia_async_dep_frontier_cstamp,1138.220745,34,258.294930,9.499582,71.016455,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_async_dep_frontier_cstamp_th4_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_async_dep_frontier_cstamp_th4_r0.out,4,3502057,80284620,0,0,112155089,69615901,7147912373,32712738,50049386,159703449,18662963469,748523841,281371087,9977132928,67.112102,1.002846,1.002846,959.063378,1.002846,224.525543,3086,128,256,256,2048,256,794110,110581581,794110,794110,290040,7,0,41,90818116,794110,364926441,1,205104513061,50823040,6352880,3089697,796368,0,async_dep_frontier_cstamp,99821,10751194728,794110,99821,8337840,1417418615,674141918,6728165235,8337840,0,8,794110,0,0,488,1,496,3086,128,256,256,2048,256,794071,0,794108,37,34,1,0,0,903870199,7543694,56394735,39,230323814628,53294257,796368,761599901,796368,178297530,0,397029,3219416427,0.000000,4,ycsb_b,0.499969,4054.129195
2100,5,10,10,100,10000,0,50,8,1,10,0,95,100000,0,0,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,1294747.250000,47742,47742.000000,0.000000,0,0.000000,47742,47742,11935.500000,0,88098.607411,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,0,11935.500000,0.000000,0,0,0,229924 kB,ermia_single_wal,1794.576997,0,0.000000,0.000000,0.000000,0,5,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th8_r0.err,/home/sa2shun/tx-playground/ccbench/results/ermia_wal_pwal_cstamp_20260607_195430/logs/ycsb_b_ermia_single_wal_th8_r0.out,8,0,10995663,0,0,7209557,1432409,251797102,1413265,6599383,20707121,39924601237,16913927,23051084,39584481726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,826983,,,,5178989,47742,,,,,,,,,,,4206003715,,,,,,,,,,,,,,,,,,,,,,,,,,,,34816513914,0,85676695,,,,39481826638,,,,,,,,373632314,0.000000,8,ycsb_b,0.000000,7826.071677
