FLAGS_clocks_per_us,FLAGS_extime,FLAGS_gc_inter_us,FLAGS_max_ope,FLAGS_pre_reserve_tmt_element,FLAGS_pre_reserve_version,FLAGS_rmw,FLAGS_rratio,FLAGS_thread_num,FLAGS_ycsb,FLAGS_ycsb_max_ope,FLAGS_ycsb_rmw,FLAGS_ycsb_rratio,FLAGS_ycsb_tuple_num,FLAGS_ycsb_zipf_skew,FLAGS_zipf_skew,ShowOptParameters(),abort_counts_,abort_rate,ack_latency_max_us,ack_latency_p50_us,ack_latency_p90_us,ack_latency_p95_us,ack_latency_p999_us,ack_latency_p99_us,ack_process_ns_per_tx,actual_extime,avg_batch_size,avg_ready_queue_len,avg_waitlist_len,batch_abort_counts_,batch_abort_rate,batch_commit_counts_,benchmark_latency_ns,bytes_flushed_per_sec,closed_loop_service_ns,commit_counts_,commits_per_fdatasync,committer_cpu_ns_per_tx,committer_event_ns_per_tx,committer_threads,cycles_per_tx,dep_wait_conditions_per_tx,derived_acked_commits,derived_logical_commits,durable_ack_tps,exit_code,fdatasync_count,fdatasync_ns_per_tx,fdatasync_per_sec,flusher_cpu_ns_per_tx,flusher_threads,frontier_alloc_count_per_tx,frontier_bytes_per_tx,frontier_collect_ns_per_read,frontier_collect_ns_per_tx,frontier_entries_per_tx,frontier_merge_ns_per_tx,frontier_nonzero_entries_per_tx,frontier_publish_ns_per_tx,frontier_shared_ptr_count_per_tx,global_atomic_per_tx,instructions_per_tx,ipc,latency[ns],logger_num,logical_minus_acked,logical_tps,lsn_alloc_ns_per_tx,max_ready_queue_len,max_waitlist_len,maxrss,mode,payload_build_ns_per_tx,pending,pending_commits,perf_context_switches,perf_cycles,perf_instructions,perf_task_clock_ms,perfstat_log,queue_wait_us_per_acked_tx,read_frontier_updates_per_tx,read_only_fast_path_per_tx,read_only_frontier_collect_skipped_per_tx,read_only_ratio,ready_queue_push_ns_per_tx,repeat,seconds,stderr_log,stdout_log,system,throughput[ops],throughput[tps],total_active_threads,tx_breakdown_abort_cleanup_ns,tx_breakdown_commit_cleanup_ns,tx_breakdown_delete_ns,tx_breakdown_insert_ns,tx_breakdown_maintenance_ns,tx_breakdown_node_validation_ns,tx_breakdown_read_ns,tx_breakdown_ssn_exclusion_ns,tx_breakdown_ssn_finalize_eta_ns,tx_breakdown_ssn_finalize_pi_ns,tx_breakdown_total_accounted_ns,tx_breakdown_update_ns,tx_breakdown_version_install_ns,tx_breakdown_wal_log_ns,version_install_ns_per_tx,waiting_conditions_per_tx,waitlist_pops_per_tx,waitlist_registration_ns_per_tx,waitlist_registrations_per_tx,wal_bytes,wal_enqueue_ns_per_tx,wal_stats_ack_latency_max_us,wal_stats_ack_latency_p50_us,wal_stats_ack_latency_p90_us,wal_stats_ack_latency_p95_us,wal_stats_ack_latency_p999_us,wal_stats_ack_latency_p99_us,wal_stats_ack_latency_samples,wal_stats_ack_process_ns,wal_stats_acked_commits,wal_stats_async_acked_commits,wal_stats_avg_accounted_ns_per_commit,wal_stats_avg_batch_size,wal_stats_avg_ready_queue_len,wal_stats_avg_waitlist_len,wal_stats_bytes,wal_stats_commits,wal_stats_committer_cpu_ns,wal_stats_committer_event_ns,wal_stats_committer_idle_wait_ns,wal_stats_committer_idle_waits,wal_stats_committer_num,wal_stats_committer_queue_wait_ns,wal_stats_dep_frontier_bytes,wal_stats_dep_frontier_entries,wal_stats_dep_frontier_nonzero_entries,wal_stats_dep_wait_conditions,wal_stats_durable_global_lsn,wal_stats_durable_lag_avg,wal_stats_durable_lag_max,wal_stats_durable_mode,wal_stats_fdatasync_count,wal_stats_fdatasync_ns,wal_stats_flushed_commits,wal_stats_flusher_batches,wal_stats_flusher_cpu_ns,wal_stats_flusher_idle_wait_ns,wal_stats_flusher_idle_waits,wal_stats_frontier_alloc_count,wal_stats_frontier_collect_ns,wal_stats_frontier_merge_ns,wal_stats_frontier_publish_ns,wal_stats_frontier_shared_ptr_count,wal_stats_global_atomic_count,wal_stats_logger_num,wal_stats_logical_commits,wal_stats_logical_minus_acked,wal_stats_lsn_alloc_ns,wal_stats_max_pending_commits,wal_stats_max_ready_queue_len,wal_stats_max_waitlist_len,wal_stats_measured_ack_latency_max_us,wal_stats_measured_ack_latency_p50_us,wal_stats_measured_ack_latency_p90_us,wal_stats_measured_ack_latency_p95_us,wal_stats_measured_ack_latency_p999_us,wal_stats_measured_ack_latency_p99_us,wal_stats_measured_acked_commits,wal_stats_measured_durable_global_lsn,wal_stats_measured_logical_commits,wal_stats_measured_logical_minus_acked,wal_stats_measurement_pending_commits,wal_stats_measurement_stop_recorded,wal_stats_mutex_wait_ns,wal_stats_notify_wait_ns,wal_stats_payload_build_ns,wal_stats_read_frontier_updates,wal_stats_read_only_commits,wal_stats_read_only_fast_path_acks,wal_stats_read_only_frontier_collect_skipped,wal_stats_ready_queue_push_ns,wal_stats_shutdown_drain_acked_commits,wal_stats_total_accounted_ns,wal_stats_version_install_ns,wal_stats_waitlist_pops,wal_stats_waitlist_registration_ns,wal_stats_waitlist_registrations,wal_stats_wal_enqueue_ns,wal_stats_worker_stall_ns,wal_stats_write_frontier_updates,wal_stats_write_ns,wal_streams,worker_stall_ns_per_tx,worker_threads,write_frontier_updates_per_tx,write_ns_per_tx
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,48721.442800,0.000000,38977.450936,3283979,3283950.000000,0.000000,0.000000,0,126606.959337,0.000000,3283950,3283950,820987.500000,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28257.768930,0.223193,48721.4428,32,0,820987.500000,0.000000,0,0,261388 kB,single_wal,0.000000,0,0,3766,415770924116,92797100277,160238.400000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r0.perfstat.csv,0.000000,0.000000,0.000000,0.000000,1.000009,0.000000,0,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r0.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r0.out,Single WAL,6567958,656795,32,0,5763012111,0,0,5005795343,4624651272,67973335610,4719687486,5687975774,1315264378,107474029563,0,6719966034,5664341555,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3283979,0,3283979,0,0,0,0,0,0,3283979,0,0,0,0,1,0,0,0,0,0,0,0,0,sync,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3283979,0,0,0,0,0,0,0,0,0,0,0,3283950,0,3283950,0,0,1,0,0,0,0,3283979,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,49829.256900,0.000000,39863.728336,3210966,3210939.000000,0.000000,0.000000,0,129491.179612,0.000000,3210939,3210939,802734.750000,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28270.813300,0.218322,49829.2569,32,0,802734.750000,0.000000,0,0,261788 kB,pwal,0.000000,0,0,4281,415788278772,90775856986,160245.760000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r0.perfstat.csv,0.000000,0.000000,0.000000,0.000000,1.000008,0.000000,0,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r0.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r0.out,P-WAL,6421932,642193,32,0,5764153776,0,0,5024987967,4707178140,67418530498,4817254526,5717520169,1314729279,107240166465,0,6703214429,5772597681,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3210966,0,3210966,0,0,0,0,0,0,3210966,0,0,0,0,1,0,0,0,0,0,0,0,0,sync,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3210966,0,0,0,0,0,0,0,0,0,0,0,3210939,0,3210939,0,0,1,0,0,0,0,3210966,0,0,0,27,0,0,0,0,0,0,0,0,0,32,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,50602.325800,0.000000,40482.167921,3161913,3161886.000000,62.244019,0.000000,1,131505.532345,0.000000,3161886,3161886,790471.500000,0,0,0.000000,0.000000,0.000000,7,0.000000,56.000478,269.274559,2692.745589,7.000060,0.000000,0.000000,0.000000,0.000000,0.000000,36735.919661,0.279349,50602.3258,7,0,790471.500000,0.000000,0,0,261704 kB,tidewal,0.000000,0,0,40088,415805501644,116154790072,160294.990000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r0.perfstat.csv,0.000000,0.000000,1.000009,0.000000,1.000009,0.000000,0,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r0.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r0.out,TideWAL,6323826,632382,40,0,5258154538,0,0,4447637178,4238969536,76064081589,4336453070,5187989355,1232235134,112243489676,0,6155703276,5322266000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3161913,0,3161913,3161913,2692,0,0,0,0,3161913,196808492,0,4983211233,31668,1,0,177067128,22133391,0,0,0,0,0,async_dep_frontier_cstamp,0,0,0,0,0,0,0,0,8514154578,0,0,0,0,7,3161913,0,0,0,0,0,0,0,0,0,0,0,3161886,0,3161886,0,0,1,0,0,0,0,3161913,3161913,0,0,27,8514154578,0,0,0,0,0,0,0,0,7,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,53540.535200,0.000000,42832.786490,2988393,2988365.000000,0.000000,0.000000,0,139135.038958,0.000000,2988365,2988365,747091.250000,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28294.762641,0.203362,53540.5352,32,0,747091.250000,0.000000,0,0,261512 kB,single_wal,0.000000,0,0,3977,415786280695,84555078361,160245.060000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r1.perfstat.csv,0.000000,0.000000,0.000000,0.000000,1.000009,0.000000,1,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r1.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r1.out,Single WAL,5976786,597678,32,0,5744676284,0,0,5037800404,4600611543,67442716100,4715403506,5705903234,1179097813,106547866490,0,6613906970,5507750636,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,2988393,0,2988393,0,0,0,0,0,0,2988393,0,0,0,0,1,0,0,0,0,0,0,0,0,sync,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2988393,0,0,0,0,0,0,0,0,0,0,0,2988365,0,2988365,0,0,1,0,0,0,0,2988393,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,49616.249300,0.000000,39693.257945,3224753,3224729.000000,0.000000,0.000000,0,128925.963128,0.000000,3224729,3224729,806182.250000,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28276.912556,0.219327,49616.2493,32,0,806182.250000,0.000000,0,0,261732 kB,pwal,0.000000,0,0,4071,415751292152,91185379949,160231.390000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r1.perfstat.csv,0.000000,0.000000,0.000000,0.000000,1.000007,0.000000,1,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r1.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r1.out,P-WAL,6449506,644950,32,0,5721499682,0,0,5027873121,4609510924,67559002451,4706810678,5670578988,1287548692,106835684133,0,6652151115,5600708482,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3224753,0,3224753,0,0,0,0,0,0,3224753,0,0,0,0,1,0,0,0,0,0,0,0,0,sync,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3224753,0,0,0,0,0,0,0,0,0,0,0,3224729,0,3224729,0,0,1,0,0,0,0,3224753,0,0,0,24,0,0,0,0,0,0,0,0,0,32,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,52223.497000,0.000000,41779.138501,3063755,3063730.000000,65.119629,0.000000,1,135730.936532,0.000000,3063730,3063730,765932.500000,0,0,0.000000,0.000000,0.000000,7,0.000000,56.000457,268.690346,2686.903460,7.000057,0.000000,0.000000,0.000000,0.000000,0.000000,36715.275820,0.270500,52223.4970,7,0,765932.500000,0.000000,0,0,261660 kB,tidewal,0.000000,0,0,39981,415842942180,112485691988,160311.070000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r1.perfstat.csv,0.000000,0.000000,1.000008,0.000000,1.000008,0.000000,1,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r1.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r1.out,TideWAL,6127510,612751,40,0,5236100832,0,0,4474113023,4131098752,76161893078,4232121317,5190173483,1220498323,111825913816,0,6105958975,5073956033,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3063755,0,3063755,3063755,2686,0,0,0,0,3063755,199508961,0,4982115031,31661,1,0,171570280,21446285,0,0,0,0,0,async_dep_frontier_cstamp,0,0,0,0,0,0,0,0,8231946739,0,0,0,0,7,3063755,0,0,0,0,0,0,0,0,0,0,0,3063730,0,3063730,0,0,1,0,0,0,0,3063755,3063755,0,0,25,8231946739,0,0,0,0,0,0,0,0,7,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,49840.510400,0.000000,39872.731226,3210243,3210214.000000,0.000000,0.000000,0,129521.007345,0.000000,3210214,3210214,802553.500000,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28251.392888,0.218122,49840.5104,32,0,802553.500000,0.000000,0,0,261312 kB,single_wal,0.000000,0,0,3945,415790151073,90693016970,160249.560000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r2.perfstat.csv,0.000000,0.000000,0.000000,0.000000,1.000009,0.000000,2,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r2.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r2.out,Single WAL,6420486,642048,32,0,5733669955,0,0,4945714345,4702324422,67250850130,4815855061,5689649038,1275651948,106780362208,0,6661014273,5705633036,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3210243,0,3210243,0,0,0,0,0,0,3210243,0,0,0,0,1,0,0,0,0,0,0,0,0,sync,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3210243,0,0,0,0,0,0,0,0,0,0,0,3210214,0,3210214,0,0,1,0,0,0,0,3210243,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,49967.443100,0.000000,39974.229114,3202088,3202063.000000,0.000000,0.000000,0,129844.842749,0.000000,3202063,3202063,800515.750000,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28270.859523,0.217728,49967.4431,32,0,800515.750000,0.000000,0,0,261576 kB,pwal,0.000000,0,0,4130,415771366708,90525073257,160243.330000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r2.perfstat.csv,0.000000,0.000000,0.000000,0.000000,1.000008,0.000000,2,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r2.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_pwal_r2.out,P-WAL,6404176,640417,32,0,5728630369,0,0,5009733008,4673735243,67262073167,4771235348,5690633698,1278929751,106739410554,0,6663639790,5660800180,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3202088,0,3202088,0,0,0,0,0,0,3202088,0,0,0,0,1,0,0,0,0,0,0,0,0,sync,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3202088,0,0,0,0,0,0,0,0,0,0,0,3202063,0,3202063,0,0,1,0,0,0,0,3202088,0,0,0,25,0,0,0,0,0,0,0,0,0,32,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,50814.460500,0.000000,40651.891186,3148711,3148685.000000,83.343831,0.000000,1,132106.165940,0.000000,3148685,3148685,787171.250000,0,0,0.000000,0.000000,0.000000,7,0.000000,56.000462,266.475664,2664.756636,7.000058,0.000000,0.000000,0.000000,0.000000,0.000000,36721.964825,0.277973,50814.4605,7,0,787171.250000,0.000000,0,0,261724 kB,tidewal,0.000000,0,0,40097,415960703102,115625899815,160363.620000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r2.perfstat.csv,0.000000,0.000000,1.000008,0.000000,1.000008,0.000000,2,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r2.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_tidewal_r2.out,TideWAL,6297422,629742,40,0,5206154739,0,0,4459350409,4019010761,76768284652,4115874070,5147349160,1255985698,112079949554,0,6099970399,5007969666,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3148711,0,3148711,3148711,2664,0,0,0,0,3148711,262423471,0,4971663570,31314,1,0,176327816,22040977,0,0,0,0,0,async_dep_frontier_cstamp,0,0,0,0,0,0,0,0,8390479248,0,0,0,0,7,3148711,0,0,0,0,0,0,0,0,0,0,0,3148685,0,3148685,0,0,1,0,0,0,0,3148711,3148711,0,0,26,8390479248,0,0,0,0,0,0,0,0,7,0.000000,32,0.000000,0.000000
2100,5,10,10,100,10000,0,50,32,1,10,0,100,100000,0,0,ADD_ANALYSIS 0: BACK_OFF 1: MASSTREE_USE 1: KEY_SIZE 8: KEY_SORT 0: VAL_SIZE 4,0,0.0000,0,0,0,0,0,0,0.000000,4,0,0,0,0,-nan,0,49251.606400,0.000000,39401.600505,3248625,3248599.000000,0.000000,0.000000,0,127970.051790,0.000000,3248599,3248599,812149.750000,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28258.243225,0.220819,49251.6064,32,0,812149.750000,0.000000,0,0,261368 kB,single_wal,0.000000,0,0,4154,415723382274,91799700684,160227.870000,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r3.perfstat.csv,0.000000,0.000000,0.000000,0.000000,1.000008,0.000000,3,5,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r3.err,results/ycsbc_readonly_deep_dive_20260608_233803/logs/ycsbc_single_wal_r3.out,Single WAL,6497250,649725,32,0,5759388499,0,0,4952303491,4666115005,67738820507,4762842652,5698029238,1302416406,107266975062,0,6702943222,5684116042,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,0,0,0,0,0,3248625,0,3248625,0,0,0,0,0,0,3248625,0,0,0,0,1,0,0,0,0,0,0,0,0,sync,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3248625,0,0,0,0,0,0,0,0,0,0,0,3248599,0,3248599,0,0,1,0,0,0,0,3248625,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0.000000,32,0.000000,0.000000
